tract,hh_inc,less_than_hs,hs,some_college,college_grad,grad_school,ed_attain,sing_par,own_occ,oth_lang,performance_score,numb_school_child,hh_inc_comp,ed_attain_comp,sing_par_comp,own_occ_comp,oth_lang_comp,performance_score_comp,combined_score,tier
5804,46757,899,1065,511,295,130,44,30,48,84,50,1008,32,18,61,62,8,51,39,2
5805.01,37366,1182,1330,426,185,87,39,36,37,83,44.32,1040,17,5,51,35,8,22,23,1
5805.02,43833,1198,1267,516,238,93,40,16,43,85,49.73,1255,26,9,83,51,6,49,38,2
5806,60190,1362,929,670,315,49,41,24,41,82,45.66,1264,53,10,72,47,10,28,37,2
5807,44979,1522,1349,635,297,50,39,37,48,87,45.35,1345,28,6,49,62,6,27,29,1
5808,45259,584,482,183,59,31,37,38,45,89,46.51,504,29,3,48,56,3,33,29,1
5905,73529,337,437,278,124,75,47,17,50,67,53.39,335,66,24,82,65,24,62,54,3
5906,48778,645,778,610,226,185,48,25,46,69,50.22,771,35,30,70,57,22,52,44,2
5907,52143,470,515,399,301,103,49,42,44,77,50.13,609,41,34,41,54,15,51,39,2
6004,38596,741,909,607,473,204,50,32,37,65,71.8,594,20,35,58,37,25,96,45,2
6006,36464,788,577,361,186,127,43,27,46,66,61.52,483,16,16,66,58,24,86,44,2
6007,41786,428,550,669,331,94,51,58,43,48,61.58,458,23,39,26,51,37,86,43,2
6009,55691,421,797,664,615,275,57,19,35,46,59.91,680,46,54,79,30,39,82,55,3
6103,45611,1549,859,708,259,110,40,38,33,87,41.3,1335,30,8,47,24,5,10,21,1
6104,32717,673,428,201,103,12,37,49,25,83,37.87,568,9,2,32,9,8,1,10,1
6108,65500,61,521,267,107,54,52,26,62,9,49.97,263,59,40,68,80,78,50,62,3
6110,24483,263,250,122,57,11,40,67,36,35,42.31,212,2,8,20,33,50,14,21,1
6111,26786,476,1049,349,35,7,40,66,35,69,37.97,710,4,7,20,31,21,1,14,1
6112,28272,424,1155,107,55,40,39,53,32,71,38.04,750,5,5,29,22,20,1,14,1
